InvoiceNo,Channel,ProductID,Date,Unit Price,Total
1802,iBay.com,T&G/MEL-37326,2020-01-01,16.66,49.98
1801,Understock.com,T&G/S&A-85894,2020-01-01,3.66,21.96
3372,Bullseye,H&K/SEV-17189,2020-01-04,3.14,84.78
4454,Understock.com,H&K/GRA-34989,2020-01-07,7.98,47.88
6565,Walcart,CP&A/3-I-21418,2020-01-11,5.27,5.27
10192,iBay.com,T&G/CON-01929,2020-01-20,5.35,10.7
11383,Shoppe.com,H&K/AND-35684,2020-01-22,3.02,84.56
13897,Shoppe.com,K&D/CUC-39569,2020-01-29,23.13,23.13
14199,Walcart,T&G/YAH-99388,2020-01-30,6.95,6.95
14869,Shoppe.com,K&D/WIL-36048,2020-01-31,3.47,41.64